[*] '/home/aa35037123/unix_programming_labs/lab3/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Partial RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
    RUNPATH:  b'.'
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_841      1c6e0      12df0     
gop_842      1d9a8      15380     
gop_843      1c6f8      12e20     
gop_844      1df08      15e40     
gop_845      1cc00      13830     
gop_846      1df28      15e80     
gop_847      1cc28      13880     
gop_848      1de88      15d40     
gop_849      1cbd0      137d0     
gop_850      1d7b0      14f90     
gop_851      1c4d8      129e0     
gop_852      1d778      14f20     
gop_853      1c450      128d0     
gop_854      1d9e0      153f0     
gop_855      1c1d8      123e0     
gop_856      1d4d0      149d0     
gop_857      1c1f0      12410     
gop_858      1d4e0      149f0     
gop_859      1c1f8      12420     
gop_860      1c010      12050     
gop_861      1d2e0      145f0     
gop_862      1e540      16ab0     
gop_863      1d518      14a60     
gop_864      1e310      16650     
gop_865      1d018      14060     
gop_866      1e320      16670     
gop_867      1d028      14080     
gop_868      1e328      16680     
gop_869      1d038      140a0     
gop_870      1e170      16310     
gop_871      1ce18      13c60     
gop_872      1e360      166f0     
gop_873      1cb30      13690     
gop_874      1de28      15c80     
gop_875      1cb40      136b0     
gop_876      1de30      15c90     
gop_877      1cb48      136c0     
gop_878      1de38      15ca0     
gop_879      1cb58      136e0     
gop_880      1c928      13280     
gop_881      1de60      15cf0     
gop_882      1c6a0      12d70     
gop_883      1d968      15300     
gop_884      1c6c8      12dc0     
gop_885      1d988      15340     
gop_886      1c6d8      12de0     
gop_887      1d9a0      15370     
gop_888      1c6f0      12e10     
gop_889      1df00      15e30     
gop_890      1c4c8      129c0     
gop_891      1d7b8      14fa0     
gop_892      1c4a8      12980     
gop_893      1d7a8      14f80     
gop_894      1c4d0      129d0     
gop_895      1d770      14f10     
gop_896      1c448      128c0     
gop_897      1d9d8      153e0     
gop_898      1c1d0      123d0     
gop_899      1d4c8      149c0     
gop_900      1cf20      13e70     
gop_901      1e1f0      16410     
gop_902      1d480      14930     
gop_903      1c148      122c0     
gop_904      1d4a8      14980     
gop_905      1c198      12360     
gop_906      1d418      14860     
gop_907      1c118      12260     
gop_908      1d458      148e0     
gop_909      1c190      12350     
gop_910      1d330      14690     
gop_911      1c090      12150     
gop_912      1d360      146f0     
gop_913      1c660      12cf0     
gop_914      1d910      15250     
gop_915      1c688      12d40     
gop_916      1d930      15290     
gop_917      1c5e0      12bf0     
gop_918      1d8c0      151b0     
gop_919      1c628      12c80     
gop_920      1c508      12a40     
gop_921      1d7f0      15010     
gop_922      1c540      12ab0     
gop_923      1d810      15050     
gop_924      1cae0      135f0     
gop_925      1ddc0      15bb0     
gop_926      1cb10      13650     
gop_927      1dde8      15c00     
gop_928      1ca80      13530     
gop_929      1dd80      15b30     
